,mes,infeccoes,populacao,max,media,min,ind_pluv
167,12,0,31236,28,23,19,181.1
168,1,13,1291771,28,23,19,217.0
169,2,31,1291771,28,23,20,196.2
170,3,110,1291771,27,22,19,147.6
171,4,368,1291771,26,21,17,86.8
172,5,280,1291771,23,18,15,65.4
173,6,96,1291771,22,17,13,55.3
174,7,27,1291771,22,16,13,43.5
175,8,24,1291771,24,18,13,41.6
176,9,16,1291771,24,19,15,98.6
177,10,11,1291771,25,20,16,104.3
178,11,21,1291771,26,21,18,126.9
179,12,19,1291771,27,22,19,181.0
180,1,0,158522,27,23,20,217.8
181,2,1,158522,28,23,20,201.0
182,3,3,158522,27,22,19,152.0
183,4,34,158522,25,21,18,92.6
184,5,13,158522,23,18,15,69.8
185,6,4,158522,22,17,14,62.4
186,7,0,158522,22,17,13,49.3
187,8,0,158522,23,17,14,43.3
188,9,0,158522,23,18,15,93.6
189,10,0,158522,24,19,16,103.8
190,11,0,158522,25,21,17,123.9
191,12,1,158522,26,22,19,176.0
192,1,2,232297,28,23,20,213.6
193,2,2,232297,28,23,20,191.4
194,3,1,232297,27,23,19,140.9
195,4,5,232297,26,21,18,81.4
196,5,2,232297,23,18,15,64.3
197,6,2,232297,22,17,13,57.1
198,7,1,232297,22,17,13,43.9
199,8,0,232297,23,18,14,39.8
200,9,0,232297,24,19,15,91.0
201,10,0,232297,25,20,17,101.1
202,11,0,232297,26,21,18,123.1
203,12,0,232297,27,22,19,176.8
204,1,0,369275,28,23,19,218.9
205,2,5,369275,28,23,19,200.4
206,3,8,369275,27,22,19,152.8
207,4,49,369275,25,21,17,92.0
208,5,51,369275,23,18,14,67.5
209,6,18,369275,22,16,13,56.3
210,7,3,369275,22,16,12,45.3
211,8,1,369275,23,17,13,43.3
212,9,1,369275,24,18,14,100.6
213,10,0,369275,25,20,16,105.8
214,11,1,369275,26,21,17,128.4
215,12,1,369275,27,22,18,182.0
216,1,0,118045,28,23,20,214.5
217,2,0,118045,28,24,20,191.9
218,3,2,118045,27,23,20,141.5
219,4,2,118045,26,21,18,81.4
220,5,2,118045,23,18,15,64.2
221,6,1,118045,22,17,14,56.7
222,7,0,118045,22,17,13,43.5
223,8,0,118045,24,18,14,39.9
224,9,0,118045,24,19,15,92.1
225,10,0,118045,25,20,17,101.6
226,11,0,118045,26,21,18,124.0
227,12,0,118045,27,23,19,178.0
228,1,0,27404,27,23,20,216.9
229,2,0,27404,28,23,20,204.0
230,3,1,27404,27,23,20,154.4
231,4,0,27404,25,21,18,96.1
232,5,0,27404,23,19,16,73.1
233,6,0,27404,22,17,14,68.1
234,7,0,27404,22,17,13,55.7
235,8,0,27404,23,18,14,45.7
236,9,0,27404,23,18,15,90.5
237,10,0,27404,24,20,16,102.5
